Adj Close,Close,Date,High,Low,Open,Volume
77.168594,83.320000,2016-10-31,84.400002,82.989998,83.879997,16663800
77.474236,83.650002,2016-11-01,83.919998,83.269997,83.500000,13050600
77.288994,83.449997,2016-11-02,83.879997,82.940002,83.300003,11226100
77.483482,83.660004,2016-11-03,83.879997,83.050003,83.680000,8836500
77.400124,83.570000,2016-11-04,84.330002,82.760002,83.629997,13877100
79.141335,85.449997,2016-11-07,85.470001,84.400002,84.489998,13576200
79.711296,85.309998,2016-11-08,85.830002,84.489998,84.730003,9708100
80.589607,86.250000,2016-11-09,86.709999,83.660004,84.050003,15901300
81.337105,87.050003,2016-11-10,87.989998,85.660004,85.910004,14106100
80.047676,85.669998,2016-11-11,86.730003,84.889999,86.529999,13711000
79.683273,85.279999,2016-11-14,85.650002,84.330002,85.300003,12607500
81.122200,86.820000,2016-11-15,87.059998,85.769997,85.769997,12883500
80.122429,85.750000,2016-11-16,86.779999,85.580002,86.739998,8201200
79.636551,85.230003,2016-11-17,86.879997,85.019997,86.440002,8200500
79.683273,85.279999,2016-11-18,85.650002,84.830002,85.209999,8457800
80.813858,86.489998,2016-11-21,86.690002,86.139999,86.440002,8861500
80.991394,86.680000,2016-11-22,87.239998,85.970001,86.690002,9390200
81.215645,86.919998,2016-11-23,87.080002,86.309998,86.540001,5996300
81.402519,87.120003,2016-11-25,87.139999,86.540001,86.709999,5042300
80.795174,86.470001,2016-11-28,87.129997,86.370003,86.949997,7449600
80.262573,85.900002,2016-11-29,86.080002,85.080002,85.419998,9181100
81.570702,87.300003,2016-11-30,88.190002,87.199997,87.599998,22696200
81.514648,87.239998,2016-12-01,88.500000,87.239998,87.980003,13005600
81.327774,87.040001,2016-12-02,87.989998,86.599998,87.190002,9706600
81.738892,87.480003,2016-12-05,87.820000,86.919998,87.389999,11741100
81.813637,87.559998,2016-12-06,87.870003,86.699997,87.269997,11293600
82.290176,88.070000,2016-12-07,88.150002,87.199997,87.629997,11182600
82.523766,88.320000,2016-12-08,88.849998,87.650002,88.050003,9086700
83.159126,89.000000,2016-12-09,89.000000,88.180000,88.639999,8021700
85.009193,90.980003,2016-12-12,91.500000,90.139999,90.139999,15545400
86.504189,92.580002,2016-12-13,93.220001,91.169998,91.889999,18829300
84.635445,90.580002,2016-12-14,92.269997,90.169998,92.260002,16325400
84.925102,90.889999,2016-12-15,90.980003,89.760002,90.099998,11155100
85.196068,91.180000,2016-12-16,91.669998,90.639999,91.519997,20560400
