Adj Close,Close,Date,High,Low,Open,Volume
48.934647,50.180000,2016-10-31,51.150002,50.000000,50.880001,17931300
48.388538,49.619999,2016-11-01,50.509998,49.139999,50.500000,14100400
48.486061,49.720001,2016-11-02,50.270000,49.009998,49.240002,10775900
48.495811,49.730000,2016-11-03,50.000000,49.310001,49.980000,7678700
48.720100,49.959999,2016-11-04,50.450001,49.759998,49.799999,9925200
49.646530,50.910000,2016-11-07,50.930000,50.279999,50.480000,8358700
49.812313,51.080002,2016-11-08,51.490002,50.950001,51.099998,8107100
49.851311,51.119999,2016-11-09,51.270000,49.799999,50.070000,9058600
49.139431,50.389999,2016-11-10,51.369999,50.330002,51.290001,12316100
49.510006,50.770000,2016-11-11,50.849998,50.180000,50.220001,6300600
48.963902,50.209999,2016-11-14,51.189999,50.209999,51.180000,7933800
48.885887,50.130001,2016-11-15,50.639999,49.750000,50.459999,9299800
49.422237,50.680000,2016-11-16,50.799999,49.950001,50.000000,6654900
50.309650,51.590000,2016-11-17,51.669998,50.720001,50.939999,7671600
49.831814,51.099998,2016-11-18,51.889999,50.959999,51.389999,7461600
50.007343,51.279999,2016-11-21,51.419998,50.950001,51.000000,5357200
50.426674,51.709999,2016-11-22,51.750000,51.049999,51.470001,5228100
50.065853,51.340000,2016-11-23,51.849998,51.200001,51.709999,4141600
50.241390,51.520000,2016-11-25,51.740002,51.349998,51.680000,2736800
49.744045,51.009998,2016-11-28,51.439999,50.610001,51.439999,8602100
49.373478,50.630001,2016-11-29,51.369999,50.570000,51.200001,6065700
48.827377,50.070000,2016-11-30,50.810001,50.070000,50.520000,8198400
49.571194,50.650002,2016-12-01,51.250000,50.060001,50.110001,7610100
49.385231,50.459999,2016-12-02,50.680000,50.110001,50.259998,6933300
50.745632,51.849998,2016-12-05,52.270000,50.700001,50.799999,12031200
49.492889,50.570000,2016-12-06,51.099998,50.259998,50.830002,12496300
50.990303,52.099998,2016-12-07,52.250000,50.599998,50.790001,10412600
50.452015,51.549999,2016-12-08,52.470001,51.450001,52.150002,9260900
50.618397,51.720001,2016-12-09,51.970001,51.500000,51.759998,5869800
50.442234,51.540001,2016-12-12,51.900002,50.939999,51.500000,11459500
51.186043,52.299999,2016-12-13,53.220001,51.830002,51.830002,11442300
50.686905,51.790001,2016-12-14,52.340000,51.590000,52.240002,8012800
50.197556,51.290001,2016-12-15,52.040001,51.090000,52.000000,9567500
49.835438,50.919998,2016-12-16,51.639999,50.669998,51.599998,12847200
49.766930,50.849998,2016-12-19,51.360001,50.480000,50.910000,9451700
50.686905,51.790001,2016-12-20,51.990002,50.750000,51.060001,15984100
51.186043,52.299999,2016-12-21,53.349998,51.549999,52.900002,23236400
51.029449,52.139999,2016-12-22,53.000000,52.029999,52.799999,11798900
50.804356,51.910000,2016-12-23,52.349998,51.669998,51.990002,9335800
50.197556,51.290001,2016-12-27,52.250000,51.200001,51.799999,8175000
49.933304,51.020000,2016-12-28,51.500000,50.869999,51.310001,6318000
49.972454,51.060001,2016-12-29,51.240002,50.880001,51.000000,4659600
49.747356,50.830002,2016-12-30,51.330002,50.700001,51.099998,7384300
50.872860,51.980000,2017-01-03,52.500000,51.770000,51.990002,13295600
51.939644,53.070000,2017-01-04,53.349998,52.090000,52.230000,13759500
51.929859,53.060001,2017-01-05,53.099998,52.439999,52.919998,8682200
52.761749,53.910000,2017-01-06,54.090000,52.980000,53.090000,12532400
52.243042,53.380001,2017-01-09,53.990002,53.220001,53.959999,8724800
51.978798,53.110001,2017-01-10,53.730000,53.110001,53.549999,8041900
51.567734,52.689999,2017-01-11,53.290001,52.669998,53.119999,8208300
51.283913,52.400002,2017-01-12,52.689999,52.160000,52.509998,7368700
51.792831,52.919998,2017-01-13,52.930000,52.230000,52.590000,6694400
52.507294,53.650002,2017-01-17,53.950001,53.009998,53.400002,9885000
52.135387,53.270000,2017-01-18,53.889999,52.860001,53.860001,6743100
51.802624,52.930000,2017-01-19,53.939999,52.889999,53.840000,8320600
52.066875,53.200001,2017-01-20,53.349998,52.900002,53.220001,7861000
52.106030,53.240002,2017-01-23,53.259998,52.720001,53.020000,7025700
52.311550,53.450001,2017-01-24,53.570000,52.990002,53.020000,6321300
52.712811,53.860001,2017-01-25,54.119999,53.689999,53.730000,6675000
52.507294,53.650002,2017-01-26,54.119999,53.360001,54.110001,6202000
52.057083,53.189999,2017-01-27,54.080002,53.029999,53.680000,7362000
51.949432,53.080002,2017-01-30,53.220001,52.410000,52.779999,9770800
51.773266,52.900002,2017-01-31,52.900002,51.630001,51.680000,12342900
51.890713,53.020000,2017-02-01,53.259998,52.610001,52.980000,8810900
51.675396,52.799999,2017-02-02,53.009998,52.480000,53.000000,7874200
51.244770,52.360001,2017-02-03,52.810001,52.250000,52.619999,8850400
51.675396,52.799999,2017-02-06,52.799999,52.049999,52.090000,7355200
51.685181,52.810001,2017-02-07,53.279999,52.669998,53.070000,6446900
52.732391,53.880001,2017-02-08,53.939999,52.700001,52.740002,9281100
54.131939,55.310001,2017-02-09,55.700001,53.880001,53.880001,14345400
55.022556,56.220001,2017-02-10,56.470001,55.630001,55.630001,14973400
54.895317,56.090000,2017-02-13,56.340000,55.750000,56.169998,7679800
55.247654,56.450001,2017-02-14,56.689999,55.830002,55.919998,8859900
55.433605,56.639999,2017-02-15,56.759998,56.209999,56.290001,6652000
55.091057,56.290001,2017-02-16,56.919998,56.099998,56.880001,8374200
55.541264,56.750000,2017-02-17,56.799999,55.860001,56.119999,12638000
56.138268,57.360001,2017-02-21,57.450001,56.200001,56.380001,10955000
56.999527,58.240002,2017-02-22,58.380001,57.360001,57.480000,10914100
56.167633,57.389999,2017-02-23,58.400002,57.270000,58.110001,12316300
56.627621,57.860001,2017-02-24,58.419998,57.070000,57.389999,9684500
56.461239,57.689999,2017-02-27,57.830002,57.349998,57.650002,4375700
55.942528,57.160000,2017-02-28,57.549999,56.860001,57.369999,7951300
56.715706,57.950001,2017-03-01,58.029999,57.330002,57.860001,8558900
56.745155,57.799999,2017-03-02,58.250000,57.650002,57.900002,6438400
55.665230,56.700001,2017-03-03,57.799999,56.509998,57.799999,9181600
55.733952,56.770000,2017-03-06,56.930000,56.529999,56.700001,6896800
55.517967,56.549999,2017-03-07,56.990002,56.020000,56.709999,7124400
55.478691,56.509998,2017-03-08,56.939999,56.310001,56.939999,7604800
55.331436,56.360001,2017-03-09,56.660000,56.090000,56.610001,6165700
55.400158,56.430000,2017-03-10,56.990002,56.259998,56.490002,8882400
55.635773,56.669998,2017-03-13,56.820000,56.110001,56.430000,7235900
