index,close,returns,mfi,normal_close,normal_returns,normal_mfi
14,33.363571,-0.002001079447729864,48.879130332329794,-0.9072946892684599,-0.07633662099881397,-0.17780446551025397
15,33.392212,0.0008580830145421669,55.89196759661372,-0.9049573522290859,-0.04625895160026722,0.00038157576037800567
16,33.869510999999996,0.01419253002934159,56.11291289905631,-0.866005896918304,0.0940160744662357,0.005995475997318422
17,33.602222,-0.007923033435114635,56.708139725892416,-0.8878188392009476,-0.13863408627975612,0.021119327861409243
18,33.831329,0.0067950709445977015,62.322887726548906,-0.8691218566556516,0.016196666973247398,0.1637819451824365
19,33.898154999999996,0.001973321446979333,61.54487150677995,-0.8636683150546878,-0.03452692401735642,0.1440136794975877
20,33.707237,-0.00564802604876736,54.74442977009649,-0.8792487666060715,-0.11470158123720255,-0.02877569893595555
21,33.124924,-0.017426572113662366,54.45910950177465,-0.9267702129036492,-0.23860892096001932,-0.03602527384987364
22,32.227589,-0.027463103016190246,43.73144738395067,-1.0,-0.3441906996724632,-0.3085996360982699
23,32.609428,0.011778562067739643,35.46795946100535,-0.9688388520729903,0.06862173915097332,-0.5185628998369523
24,32.828995,0.006710669784357975,42.134524018002324,-0.950920410617587,0.015308788012872762,-0.34917514670367167
25,33.144012,0.009549948031476975,40.85424523432565,-0.9252124778592181,0.0451772804732377,-0.3817051769309481
26,33.888607,0.022216814372294513,48.928533576207464,-0.8644475090092261,0.1784295258919665,-0.17654920061236123
27,34.079529,0.005618000239266524,49.8482379025644,-0.8488667310255193,0.0038141794438287177,-0.1531808452838208
28,34.136806,0.001679275600482817,56.33629803989085,-0.844192464987175,-0.037620212305672154,0.011671368995251008
29,34.337272999999996,0.00585528350778258,57.69873860304946,-0.8278327378731722,0.0063103396999903,0.04628901108031269
30,35.129601,0.02281266784805852,59.92763593088225,-0.7631723705070517,0.18469775446956305,0.10292206504663315
31,34.890941999999995,-0.006816854425033693,67.50451310548117,-0.7826488734392103,-0.1269973615396071,0.2954395437868802
32,35.120056,0.006545109324307133,69.41315358761284,-0.7639513196373486,0.013567133647795701,0.3439353349913892
33,34.661839,-0.013133022138316412,60.17617497373611,-0.8013455295521834,-0.19344185598604327,0.1092370822755182
34,35.215511,0.01584729779358287,65.9694082865035,-0.7561614202939793,0.1114238148101232,0.256434752955329
35,35.520984999999996,0.008637009641391316,73.30352942727868,-0.7312322734497458,0.035573398413168394,0.44278415235315194
36,35.301429999999996,-0.006200175561571342,76.43597984904903,-0.7491497356081807,-0.12051005512556277,0.5223751822169793
37,35.253696000000005,-0.001353098208141667,78.76800946534821,-0.753045215732389,-0.06952002146731803,0.5816286783119942
38,35.291882,0.0010825909947043714,76.05245455908859,-0.749928929562719,-0.04389718416180964,0.5126303598904625
39,35.387337,0.002701078460848387,75.60627806979889,-0.7421390302193496,-0.026871103421477183,0.5012936612992285
40,34.967316,-0.0119402476527213,70.22676737514134,-0.7764161378837078,-0.1808941686411826,0.3646080833326715
41,34.995953,0.0008186296040362068,65.81094827147598,-0.7740791272766563,-0.04667399154763014,0.2524085134015839
42,34.623661,-0.010695133952889322,59.481735878251435,-0.8044611628572085,-0.16779588593730715,0.09159239031065947
43,34.938675,0.009057089554989389,59.272038699412455,-0.7787534749230809,0.03999253336226552,0.08626428860876545
44,34.757305,-0.0052046160886982116,49.522758184374354,-0.7935547325199264,-0.11003702007183783,-0.16145081367358172
45,34.70002,-0.0016495024243647547,39.70073188103116,-0.7982296514229166,-0.07263811921151163,-0.4110142811109587
46,34.824123,0.0035700729690994774,30.44113360657572,-0.7881018437836085,-0.017729499936812304,-0.6462872666520061
47,34.948223,0.0035572870336460275,42.82793537935338,-0.777974280968543,-0.01786400475932401,-0.331556567975132
48,34.881401000000004,-0.0019138588057298846,42.00993430060015,-0.7834274961371834,-0.07541908180003767,-0.352340791034246
49,35.272789,0.01115805230483268,43.07428182243242,-0.7514870726475542,0.06209413263908055,-0.3252972615319447
50,35.043678,-0.006516590510275662,41.8580095348983,-0.7701843816251737,-0.12383866073838408,-0.3562009793647598
51,35.120056,0.0021771369855780463,48.1388672750902,-0.7639513196373486,-0.032382835855473024,-0.19661347799657003
52,35.129601,0.00027174510072661747,45.187404101468346,-0.7631723705070517,-0.052427078861410514,-0.27160588392935403
53,35.091412,-0.0010876802294194558,46.67062583359289,-0.7662889015009644,-0.06672789114181937,-0.23391936721523376
54,34.910034,-0.00518213312054041,46.52336424989423,-0.7810908119624549,-0.10980050490620047,-0.2376610708426865
55,35.263237,0.010066681450196178,53.2686530529813,-0.7522665930344159,0.05061318596671795,-0.06627304859803629
56,35.10096,-0.004612495974482673,51.10646160699497,-0.7655097075464257,-0.10380806551797442,-0.12121120268749497
57,35.912376,0.022853490937536376,53.89075029254376,-0.699291605135874,0.18512720309493655,-0.05046645845119646
58,36.084209,0.004773374355721404,62.04931248155057,-0.6852686438046796,-0.0050710722429670035,0.15683079430600522
59,35.855103,-0.006369445806365804,57.868633970414976,-0.7039655447418958,-0.12229073549232064,0.05060580638016354
60,36.256039,0.01112006051699567,66.02114843596871,-0.6712459272977274,0.06169446859427727,0.2577493952406864
61,35.721455,-0.014854471867686745,59.505458326812054,-0.7148723015114999,-0.21155107381799323,0.09219514338177248
62,35.148693,-0.01616405459529356,53.229117094249105,-0.7616143090302971,-0.22532755446600244,-0.06727760006684158
63,34.862305,-0.008181274530750866,46.26503034775966,-0.7849858840462609,-0.1413507176017457,-0.24422496126429794
64,35.015041,0.004371552498230274,53.26990595699453,-0.7725213922322252,-0.009298137037712581,-0.0662412141210913
