Adj Close,Close,Date,High,Low,Open,Volume
64.429344,66.419998,2016-10-31,66.830002,66.309998,66.809998,3233400
64.264435,66.250000,2016-11-01,66.809998,65.730003,66.769997,3761600
63.488396,65.449997,2016-11-02,66.029999,65.139999,65.760002,3659000
63.372013,65.330002,2016-11-03,65.760002,65.040001,65.529999,3796500
63.546604,65.510002,2016-11-04,66.080002,65.029999,65.500000,3429900
64.991951,67.000000,2016-11-07,67.330002,66.650002,66.849998,4012100
65.059853,67.070000,2016-11-08,67.260002,66.309998,66.790001,3947700
66.679794,68.739998,2016-11-09,69.000000,67.059998,67.160004,9319100
68.008743,70.110001,2016-11-10,70.400002,69.050003,69.239998,9418700
68.387054,70.500000,2016-11-11,70.589996,69.650002,69.970001,4656100
70.249512,72.419998,2016-11-14,72.680000,70.629997,70.800003,8026400
70.298004,72.470001,2016-11-15,72.480003,71.239998,72.129997,4431200
69.531685,71.680000,2016-11-16,72.400002,71.279999,71.949997,4469200
69.628693,71.779999,2016-11-17,72.000000,71.320000,71.360001,3797400
68.872063,71.000000,2016-11-18,71.599998,70.769997,71.529999,5430600
69.395874,71.540001,2016-11-21,71.669998,70.959999,71.309998,3368200
69.570480,71.720001,2016-11-22,71.879997,70.870003,71.820000,4086200
70.695717,72.879997,2016-11-23,72.919998,71.510002,71.940002,4661400
70.676323,72.860001,2016-11-25,73.180000,72.459999,72.970001,1900400
69.968193,72.129997,2016-11-28,72.769997,71.970001,72.529999,4467700
69.347374,71.489998,2016-11-29,72.260002,71.389999,72.199997,3814800
69.880898,72.040001,2016-11-30,72.330002,71.779999,72.000000,4812500
70.356216,72.529999,2016-12-01,72.769997,71.779999,72.449997,4298200
69.706284,71.860001,2016-12-02,72.660004,71.430000,72.519997,2959100
69.871185,72.029999,2016-12-05,72.639999,71.989998,72.330002,3929100
70.142815,72.309998,2016-12-06,72.739998,72.080002,72.470001,3843900
72.063469,74.290001,2016-12-07,74.720001,72.230003,72.470001,5801500
72.664879,74.910004,2016-12-08,75.199997,73.989998,74.800003,3415800
72.529076,74.769997,2016-12-09,74.910004,74.290001,74.839996,2566900
71.374733,73.580002,2016-12-12,74.699997,73.150002,74.699997,3654900
